GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
StarExec Application,org.starexec.app,JobSpaceService,123,0,14,0,29,0,12,0,5,0
StarExec Application,org.starexec.app,RESTHelpers.PermissionDetails,18,0,0,0,7,0,1,0,1,0
StarExec Application,org.starexec.app,SessionFilter,317,0,52,0,82,0,34,0,8,0
StarExec Application,org.starexec.app,Starexec,252,0,16,0,84,0,13,0,5,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},9,0,0,0,3,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},6,0,0,0,3,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},15,0,0,0,6,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},10,0,2,0,4,0,3,0,2,0
StarExec Application,org.starexec.app,RESTHelpers.SpacePermPair,9,0,0,0,4,0,1,0,1,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},11,0,0,0,5,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},31,0,2,0,10,0,3,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},94,0,14,0,34,0,9,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},6,0,0,0,3,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},13,0,0,0,6,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},6,0,0,0,3,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},6,0,0,0,3,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},9,0,0,0,3,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},9,0,0,0,3,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},6,0,0,0,3,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},52,0,2,0,18,0,3,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},6,0,0,0,3,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},18,0,0,0,6,0,2,0,2,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},74,0,6,0,28,0,6,0,3,0
StarExec Application,org.starexec.app,PeriodicTasks.new RobustRunnable() {...},7,0,0,0,4,0,2,0,2,0
